49,[CVE-2020-28282](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28282),getobject,set(),"The function recursively set the property in the target object, however it does not properly check the key being set, leading to a prototype pollution",public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-28282](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28282),
50,[CVE-2020-28281](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28281),set-object-value,setObjectValue,sets the object with given value,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-28281](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28281),
51,[CVE-2020-28280](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28280),predefine,merge,Merge two objects in to one single object. This supports deep merging.,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-28280](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28280),
52,[CVE-2020-28279](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28279),flattenizer,unflatten(),unflatten nested JavaScript objects into a single level.,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-28279](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28279),
53,[CVE-2020-28277](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28277),dset,dset(),writes values at the assigned key-path,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-28277](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28277),
54,[CVE-2020-28276](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28276),deep-set,deepSet(),Sets a value of a property in an object tree,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-28276](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28276),
55,[CVE-2020-28274](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28274),deepref,set(),"The function recursively set the property in the target object, however it does not properly check the key being set, leading to a prototype pollution",public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-28274](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28274),
56,[CVE-2020-28273](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28273),set_in,set_in(),set value of nested associative structure given array of keys,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-28273](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28273),
57,[CVE-2020-28272](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28272),keyget,set(),"The function recursively set the property in the target object, however it does not properly check the key being set, leading to a prototype pollution",public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-28272](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28272),
58,[CVE-2020-28271](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28271),deephas,set(),Adds a new property or object.,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-28271](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28271),
59,[CVE-2020-28269](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28269),field,set(),"The function recursively set the property in the target object, however it does not properly check the key being set, leading to a prototype pollution",public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-28269](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28269),
60,[CVE-2020-28268](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28268),controlled-merge,merge(),function to merge a number of javascript objects into a singular object.,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-28268](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28268),
61,[CVE-2020-28267](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28267),@strikeentco/set,"sset(obj, '__proto__.polluted', ""yes"");",sets nested value on an object.,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-28267](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28267),
62,[CVE-2020-15256](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-15256),object-path-set,setpath(),set values in javascript objects by specifying a path.,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-15256](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-15256),
63,[CVE-2020-26245](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-26245),systeminformation,,"The function recursively set the property in the target object, however it does not properly check the key being set, leading to a prototype pollution",public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-26245](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-26245),
64,[CVE-2019-10793](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-10793),dot-object,set(),,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2019-10793](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-10793),
65,[CVE-2019-10792](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-10792),bodymen,handler(),,own,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2019-10792](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-10792),
66,[CVE-2019-10750](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-10750),deeply,#main#,,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2019-10750](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-10750),
67,[CVE-2019-10747](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-10747),set-value,#main#,Set nested properties on an object using dot notation.,own,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2019-10747](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-10747),
68,[CVE-2019-10746](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-10746),mixin-deep,#main#,Deeply mix the properties of objects into the first object but dosent clone,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2019-10746](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-10746),
69,[CVE-2019-10745](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-10745),assign-deep,#main#,Deeply assign the values of all enumerable-own-properties and symbols from one or more source objects to a target object,own/ modified,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2019-10745](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-10745),
70,[CVE-2018-16492](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2018-16492),extend,#main#,"Extend one object with one or more others,",public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2018-16492](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2018-16492),
71,[CVE-2018-16491](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2018-16491),node.extend,#main#,"Extend one object with one or more others,",public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2018-16491](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2018-16491),
72,[CVE-2018-16490](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2018-16490),mpath,set(),setting a property within an array to another array results in each element of the new array being set to the item in the destination array at the matching index,own,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2018-16490](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2018-16490),
73,[CVE-2018-16489](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2018-16489),just-extend,#main#,"Extend one object with one or more others,",public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2018-16489](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2018-16489),
74,[CVE-2018-16486](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2018-16486),defaults-deep,#main#,recursively copies only the missing properties/values to the target object.,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2018-16486](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2018-16486),
75,[CVE-2018-3728](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2018-3728),hoek,merge(),Merge all the properties of source into target,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2018-3728](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2018-3728),
76,[CVE-2018-3749](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2018-3749),deap,merge(),"Copy properties from one object to another, not replacing existing properties.",public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2018-3749](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2018-3749),
77,[CVE-2018-3751](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2018-3751),merge-recursive,#main#,"Copy properties from one object to another, not replacing existing properties.",public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2018-3751](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2018-3751),
78,[-](https://cve.mitre.org/cgi-bin/cvename.cgi?name=-),prototyped.js,set(),Puts the property value indicated by the given selector into the object,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[-](https://cve.mitre.org/cgi-bin/cvename.cgi?name=-),
79,[CVE-2020-7717](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7717),dot-notes,create(),create a potentially nested key inside an Object,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-7717](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7717),
80,[CVE-2020-7765](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7765),@firebase/util,deepExtend(),"*Extend one object with one or more others,",public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-7765](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7765),
81,[CVE-2020-28477](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28477),immer,applyPatches(),-,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-28477](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28477),
82,[CVE-2020-28461](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28461),js-ini,parse(),decoding ini-like strings.,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-28461](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28461),
83,[-](https://cve.mitre.org/cgi-bin/cvename.cgi?name=-),upmerge,merge(),merge one object with other,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[-](https://cve.mitre.org/cgi-bin/cvename.cgi?name=-),
84,[-](https://cve.mitre.org/cgi-bin/cvename.cgi?name=-),keyd,set(),sets value in give path,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[-](https://cve.mitre.org/cgi-bin/cvename.cgi?name=-),
85,[-](https://cve.mitre.org/cgi-bin/cvename.cgi?name=-),nested-property,set(),set a nested property on an object:,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[-](https://cve.mitre.org/cgi-bin/cvename.cgi?name=-),
86,[-](https://cve.mitre.org/cgi-bin/cvename.cgi?name=-),objtools,merge(),Recursively merge source objects into a base object,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[-](https://cve.mitre.org/cgi-bin/cvename.cgi?name=-),
87,[CVE-2020-7608](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7608),yargs-parser,#main#,Parses command line arguments returning a simple mapping of keys and values.,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-7608](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7608),
88,[CVE-2020-7774](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7774),y18n,updateLocale(),Update the current locale with the key value pairs in obj,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-7774](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7774),
89,[CVE-2020-7724](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7724),tiny-conf,set(),sets value at path location,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-7724](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7724),
90,[-](https://cve.mitre.org/cgi-bin/cvename.cgi?name=-),supermixer,merge(),deep merge own properties,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[-](https://cve.mitre.org/cgi-bin/cvename.cgi?name=-),
91,[-](https://cve.mitre.org/cgi-bin/cvename.cgi?name=-),smart-extend,deep(),Performs a recursive copy of the specified objects.,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[-](https://cve.mitre.org/cgi-bin/cvename.cgi?name=-),
92,[CVE-2020-28278](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28278),shvl,set(),set dot-notated properties within an object.,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-28278](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28278),
93,[CVE-2020-28273](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28273),set-in,#main#,set value of nested associative structure given array of keys,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-28273](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28273),
94,[CVE-2020-7707](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7707),property-expr,setter(),accepts an obj and a value and sets the property pointed to by the expression to the supplied value.,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-7707](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7707),
95,[CVE-2021-25949](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-25949),set-getter,#main#,works like set-value by adding a property to an object or an object hierarchy using dot notation.,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2021-25949](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-25949),
96,[CVE-2021-25948](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-25948),expand-hash,#main#,Recursively expands property keys with dot-notation into objects.,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2021-25948](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-25948),
97,[CVE-2020-7792](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7792),mout,set(),Sets a nested property value.,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-7792](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7792),
98,[CVE-2020-7726](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7726),safe-object2,setter(),accepts an obj and a value and sets the property pointed to by the expression to the supplied value.,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-7726](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7726),
99,[CVE-2020-7708](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7708),irrelon-path,set(),Sets a value in the obj at the given path,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2020-7708](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7708),
100,[CVE-2021-28860](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-28860),mixme,#main#,Merge multiple object recursively,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=[CVE-2021-28860](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-28860),
,,,,,,,,
,,,,,,,,
sno,CVE,pacakage name,function,description about the function,Exploit availability,,CVE,
1,"CVE-2020-7742
",simpl-schema,setDefaultMessages,simply extends the default defaults,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,"https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7742
",
2,CVE-2021-23370,swiper,extendDefaults,Extend global Swiper defaults,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-23370,
3,CVE-2020-7788,ini,parse,Decode the ini-style formatted inistring into a nested object.,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7788,
4,CVE-2020-7618,sds,set,sets object with given properties,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7618,
5,CVE-2019-10768,angular ,merge,,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-10768,
6,CVE-2021-25916,sahmat,#main#,setter for deep objects,modidied,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-25916,
7,https://www.npmjs.com/advisories/1334,getsetdeep,setDeep,set nested variables of an object,developed,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=https://www.npmjs.com/advisories/1334,
8,https://snyk.io/vuln/SNYK-JS-FLAT-596927,flat,unflatten,unFlattens the object,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=https://snyk.io/vuln/SNYK-JS-FLAT-596927,
9,https://www.npmjs.com/advisories/1327,flat-wrap,unflatten,unFlattens the object,developed,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=https://www.npmjs.com/advisories/1327,
10,CVE-2020-7598,minimist,#main#,parse argument options,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7598,
11,https://www.npmjs.com/advisories/893,lutils-merge,#main#,Merge javascript objects recursively.,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=https://www.npmjs.com/advisories/893,
12,CVE-2018-3752,merge-options,#main#,Merge Option Objects,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2018-3752,
13,https://hackerone.com/reports/871156,plain-object-merge,#main#,deep merging json-serializable plain objects.,public,https://cve.mitre.org/cgi-bin/cvename.cgi?name=,https://cve.mitre.org/cgi-bin/cvename.cgi?name=https://hackerone.com/reports/871156,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,snyk vulnerablity database,,,,,,,
s.no,CVE,pacakage name,function,description about the function,Exploit availability,,,
1,CVE-2018-3753,merge-objects,#main#,Merge two objects and concatenate arrays that are values of the same object key,public,,,
2,CVE-2018-3750,deep-extend,#main#,Recursive object extending.,public,,,
3,CVE-2018-16472,cached-path-relative,#main#,-,public,,,
4,CVE-2019-11358,jquery,extend,Merge the contents of two or more objects together into the first objec,modified,,,
5,link,mithril,parseQueryString(),Turns a string into object,developed,,,
6,CVE-2019-10794,Component Flatten,#main#,Is a module that flattens a resolved component tree.,developed,,,
7,CVE-2019-10806,vega-util,mergeConfig,Merges a collection of Vega configuration objects into a single combined object,public,,,
8,CVE-2019-10808,utilitify,#main#,Recursively merge values in a javascript object.,public,,,
9,CVE-2020-5258,dojo,deepcopy,,public,,,
10,CVE-2020-7639,@eivifj/dot,set,set object properties with dot notation,public,,,
11,CVE-2020-7638,confinit,setDeepProperty,set nested variables of an object,public,,,
12,CVE-2020-7641,grunt-util-property,call,Grunt util for getting and setting properties,public,,,
13,link,objutil,#main#,"Deeply merge args properties into obj, from left to right order.",public,,,
14,link,@uifabric/utilities,merge,Simple deep merge function,public,,,
15,link,fluentui/styles,deepmerge,allows one object to merge with another recursively.,public,,,
16,link,i18next,deepExtend,"*Extend one object with one or more others,",public,,,
17,link,fast-json-patch,applyPatch,Applies patch array on obj,public/modified,,,
18,CVE-2020-7715,deep-get-set,#main#,Set and get values on objects via dot-notation strings,public but not working,,,
19,link,extend-merge,#main#,Shallow extend and deep merge utility function,public,,,
20,link,datatables.net,Not available,Not available,public [has implementation] issues,,,
21,CVE-2020-7748,@tsed/core,#main#,"*Extend one object with one or more others,",public,,,
22,CVE-2020-7751,pathval,setPathValue,Sets the value of a property at a given path inside an object,public,,,
23,CVE-2020-7772,doc-path,setPath,set the value at that path,public,,,
24,link,objnest,expand,Convert flattened object into nested structure.,public,,,
25,link,ts-dot-prop,set,set properties of the Object prototype,public,,,
26,CVE-2020-35149,rxdb,not available,Not available,public [has implementation] issues,,,
27,CVE-2020-28441,conf-cfg-ini,decode,decode conf/cfg/ini-Files,public [has implementation] issues,,,
28,CVE-2020-28448,multi-ini,read,"An ini-file parser which supports multi line, multiple levels and arrays to get a maximum of compatibility with Zend config files.",public,,,
29,link,inireader,load,Loads and parses the configuration file.,public,,,
30,CVE-2020-28462,ion-parser,parse,parser for TOML and ION files.,public,,,
31,CVE-2020-28471,properties-reader,#main#,An ini file compatible properties reade,public,,,
32,CVE-2020-28450,decal,extend,Not available,public,,,
33,link,tree-kit,set,sets properties of an object,public [has implementation] issues,,,
34,link,node-dig,#main#,enables you to access nested elements in Object.,public,,,
35,link,convict,set,Sets the value of name to value,public,,,
36,link,style-dictionary,extend,method is an overloaded method that can also take an object with the configuration in the same format as a config.json file.,public,,,
37,CVE-2019-18841,chartkick.js,LineChart,constructs a Line chart,developed,,,
,,,,,,,,
38,CVE-2020-7743,mathjs,config,configures,developed,,,
39,CVE-2019-10798,rdf-graph-array,add,add graph,developed,,,
40,CVE-2021-23442,@cookiex/deep,default,Deep is a library for joining object recursive in one target,public,,,
41,CVE-2021-3815,@fabiocaccamo/utils.js,set,sets the property to a given object,public,,,
42,CVE-2021-23700,merge-deep2,#main#,Recursively merge values in a javascript object.,public,,,
43,CVE-2020-7709,jsonpointer,set,sets the property to a given object,public,,,
44,CVE-2021-23807,jsonpointer,set,sets the property to a given object,public,,,
45,link,@brikcss/merge,#main#,Utility to perform a deep merge of a list of objects or arrays.,public,,,
46,CVE-2021-23452,x-assign,assign,Object.assign that will merge nested objects and concatenate arrays.,public,,,
47,CVE-2021-23448,config-handler,#main#,Load your configuration in hierarchy,public,,,
48,CVE-2021-3645,@viking04/merge,#main#,To merge many sources to target.,public,might be prone to attack,,
49,CVE-2021-3766,objection,set,sets the property to a given object,public,might be prone to attack,,
50,CVE-2021-23432,mootools,merge,Merges any number of objects recursively without referencing them or their sub-objects.,public,,,
51,CVE-2021-23426,proto,merge,merges object,public,,,
52,CVE-2021-23421,merge-change,set,To set (or replace) property without deep merge.,developed,,,
53,link,think-config,set,sets the property to a given object,public-devloped,might be,,
54,CVE-2021-23417,deepmergefn,#main#,Mixes two data objects in depth,public,,,
55,CVE-2021-25953,putil-merge,#main#,Merging multiple objects into one,public,,,
56,CVE-2021-25952,just-safe-set,#main#,Set value at property,public,,,
57,CVE-2021-23402,record-like-deep-assign,#main#,Recursively assigns enumerable own properties of the given sources to a target object,public,,,
58,CVE-2021-23403,ts-nodash,Merge,Takes two parameters that can be of any object type and will try to merge them together,public,,,
59,CVE-2021-32736,think-helper,extend,extend object,developed,,,
60,CVE-2021-23397,@ianwalter/merge,#main#,Recursively merge JavaScript Objects,public,,,
61,CVE-2021-23396,lutils,merge,"Merge objects together, traversing objects & arrays recursively",public,,,
62,CVE-2021-23395,nedb,update,updates the databse,public,,,
63,CVE-2021-41097,aurelia-path,parseQueryString,parse the query,public-devloped,,,
64,CVE-2021-23373,set-deep-prop,#main#,Set the value of a deeply nested object or array,public,,,
65,link,mquery,mergeClone,-,public,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,NO POC,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
s.no,CVE,pacakage name,function,description about the function,Exploit availability,,,
1,link,subtext,Not available,Not available,Not available,,,
2,link,fastify,Not available,Not available,Not available,,,
3,CVE-2020-7679,casperjs,Not available,Not available,Not available,,,
4,CVE-2020-15366,ajv,Not available,Not available,Not available,,,
5,link,fine-uploader,Not available,Not available,Not available,,,
6,CVE-2020-1911,hermes-engine,Not available,Not available,Not available,,,
7,link,jiff,not available,Not available,Not available,,,
8,link,nunjucks,not available,Not available,Not available,,,
9,CVE-2021-21368,msgpack5,not available,Not available,not available,,,
10,CVE-2020-8141,dot,Not available,Not available,Not available,,,
11,link,handlebars,Not available,Not available,Not available,,,
