,Title,Package Name,Details Page,CVE,Affected Version
496,Downloads Resources over HTTP in geoip-lite-country,geoip-lite-country,https://github.com//advisories/GHSA-ff29-f57w-2mm3,CVE-2016-10568,< 1.1.4
497,Downloads Resources over HTTP in install-nw,install-nw,https://github.com//advisories/GHSA-wq7q-7vfh-2x3h,CVE-2016-10566,< 1.1.5
498,Downloads Resources over HTTP in iedriver,iedriver,https://github.com//advisories/GHSA-jfgq-g48x-jq83,CVE-2016-10562,< 3.0.0
499,Downloads Resources over HTTP in go-ipfs-dep,go-ipfs-dep,https://github.com//advisories/GHSA-g3xp-v2ff-x5c3,CVE-2016-10563,< 0.4.4
500,Downloads Resources over HTTP in galenframework-cli,galenframework-cli,https://github.com//advisories/GHSA-x5ph-4fr4-g7fw,CVE-2016-10560,< 2.3.1
501,Downloads Resources over HTTP in aerospike,aerospike,https://github.com//advisories/GHSA-v5v3-8jqf-vg27,CVE-2016-10558,< 2.4.2
502,SQL Injection in sequelize,sequelize,https://github.com//advisories/GHSA-9c2p-jw8p-f84v,CVE-2016-10556,<= 3.19.3
503,SQL Injection in sequelize,sequelize,https://github.com//advisories/GHSA-x2jc-pwfj-h9p3,CVE-2016-10554,<= 1.7.0-alpha2
504,SQL Injection in waterline-sequel,waterline-sequel,https://github.com//advisories/GHSA-cgpp-wm2h-6hqx,CVE-2016-10551,< 0.5.1
505,Potential SQL Injection in sequelize,sequelize,https://github.com//advisories/GHSA-2v7q-2xqx-f4q5,CVE-2016-10553,<= 2.1.3
506,SQL Injection in sequelize,sequelize,https://github.com//advisories/GHSA-98pq-pmw9-4gpm,CVE-2016-10550,< 3.17.0
507,Downloads Resources over HTTP in massif,massif,https://github.com//advisories/GHSA-4v2c-g2xc-47fv,CVE-2016-10682,= 0.0.1-1
508,Downloads Resources over HTTP in selenium-standalone-painful,selenium-standalone-painful,https://github.com//advisories/GHSA-3x83-p476-vv95,CVE-2016-10679,= 2.39.0-2.7.0
509,Downloads Resources over HTTP in tomita-parser,tomita-parser,https://github.com//advisories/GHSA-722q-3g9x-vp8q,CVE-2016-10666,<= 0.0.3
510,Downloads Resources over HTTP in poco,poco,https://github.com//advisories/GHSA-f757-9c4x-chff,CVE-2016-10659,<= 1.5.4
511,Remote Memory Disclosure in ws,ws,https://github.com//advisories/GHSA-2mhh-w6q8-5hxw,CVE-2016-10518,< 1.0.1
512,Downloads Resources over HTTP in bionode-sra,bionode-sra,https://github.com//advisories/GHSA-735c-r4vc-6gm9,CVE-2016-10613,<= 2.0.0
513,Downloads Resources over HTTP in curses,curses,https://github.com//advisories/GHSA-8p52-7cxv-6c95,CVE-2016-10615,<= 0.0.10
514,Downloads Resources over HTTP in box2d-native,box2d-native,https://github.com//advisories/GHSA-362x-34h3-h6h6,CVE-2016-10617,<= 0.0.8
515,Downloads Resources over HTTP in node-browser,node-browser,https://github.com//advisories/GHSA-8r98-rqg5-4vm3,CVE-2016-10618,<= 0.0.3
516,Downloads Resources over HTTP in pennyworth,pennyworth,https://github.com//advisories/GHSA-x3j8-g4v9-67jq,CVE-2016-10619,<= 1.0.1
517,Downloads Resources over HTTP in atom-node-module-installer,atom-node-module-installer,https://github.com//advisories/GHSA-87g3-x896-w798,CVE-2016-10620,<= 0.9.0
518,Downloads Resources over HTTP in fibjs,fibjs,https://github.com//advisories/GHSA-6p48-xfj3-jw67,CVE-2016-10621,<= 0.1.8
519,Downloads Resources over HTTP in macaca-chromedriver-zxa,macaca-chromedriver-zxa,https://github.com//advisories/GHSA-3c87-r9f7-qfgq,CVE-2016-10623,<= 0.1.9
520,Downloads Resources over HTTP in headless-browser-lite,headless-browser-lite,https://github.com//advisories/GHSA-g95j-p8f6-pwh4,CVE-2016-10625,<= 2015.4.3-10
521,Downloads Resources over HTTP in scala-bin,scala-bin,https://github.com//advisories/GHSA-3vv5-42wr-m32g,CVE-2016-10627,<= 0.3.3
522,Downloads Resources over HTTP in nw-with-arm,nw-with-arm,https://github.com//advisories/GHSA-9jf3-f2pg-7868,CVE-2016-10629,<= 0.14.0
523,Downloads Resources over HTTP in jvminstall,jvminstall,https://github.com//advisories/GHSA-qx9m-27wh-7fjg,CVE-2016-10631,<= 0.1.0
524,Downloads Resources over HTTP in dwebp-bin,dwebp-bin,https://github.com//advisories/GHSA-4pf7-579w-f4gm,CVE-2016-10633,<= 1.0.0
525,Downloads Resources over HTTP in broccoli-closure,broccoli-closure,https://github.com//advisories/GHSA-vvwp-3f54-xc39,CVE-2016-10635,< 1.3.1
526,Path Traversal in total.js,total.js,https://github.com//advisories/GHSA-3q32-j57w-q4w7,CVE-2019-8903,< 3.2.3
527,Moderate severity vulnerability that affects bootstrap and bootstrap-sass,bootstrap-sass,https://github.com//advisories/GHSA-wh77-3x4m-4q9g,CVE-2019-8331,">= 4.0.0, < 4.3.1>= 3.0.0, < 3.4.1>= 3.0.0, < 3.4.1"
528,Moderate severity vulnerability that affects uap-core,uap-core,https://github.com//advisories/GHSA-fx7m-j728-mjw3,CVE-2018-20164,< 0.6.0
529,Cross-Site Scripting in editor.md,editor.md,https://github.com//advisories/GHSA-2j5v-fc74-j9q2,CVE-2019-9737,= 1.5.0
530,Regular Expression Denial of Service in highcharts,highcharts,https://github.com//advisories/GHSA-xmc8-cjfr-phx3,CVE-2018-20801,< 6.1.0
531,Path Traversal in localhost-now,localhost-now,https://github.com//advisories/GHSA-qwj8-p662-3m7x,CVE-2019-5416,<= 1.0.2
532,Directory Traversal in serve,serve,https://github.com//advisories/GHSA-xg75-3277-gvvj,CVE-2019-5417,< 7.1.3
533,Path Traversal in serve,serve,https://github.com//advisories/GHSA-v588-qcp3-jv46,CVE-2019-5415,< 7.1.3
534,Command Injection in kill-port,kill-port,https://github.com//advisories/GHSA-pmv6-gf98-p3r5,CVE-2019-5414,< 1.3.2
535,Code Injection in morgan,morgan,https://github.com//advisories/GHSA-gwg9-rgvj-4h5j,CVE-2019-5413,< 1.9.1
536,Moderate severity vulnerability that affects total.js,total.js,https://github.com//advisories/GHSA-72p5-2r6g-fm6v,CVE-2019-10260,<= 3.3.0-12
537,Path Traversal in http-live-simulator,http-live-simulator,https://github.com//advisories/GHSA-2hhw-p8mg-jrm6,CVE-2019-5423,< 1.0.6
538,Cross-Site Scripting in buttle,buttle,https://github.com//advisories/GHSA-gm29-35c7-8cfw,CVE-2019-5422,<= 0.2.0
539,Cross-Site Scripting in materialize-css,materialize-css,https://github.com//advisories/GHSA-98f7-p5rc-jx67,CVE-2019-11002,<= 1.0.0
540,Cross-Site Scripting in materialize-css,materialize-css,https://github.com//advisories/GHSA-7752-f4gf-94gc,CVE-2019-11003,<= 1.0.0
541,Low severity vulnerability that affects materialize-css,materialize-css,https://github.com//advisories/GHSA-rg3q-jxmp-pvjj,CVE-2019-11004,<= 1.0.0
542,Cross-Site Scripting in simple-markdown,simple-markdown,https://github.com//advisories/GHSA-qj3f-9gmq-fwv5,CVE-2019-9844,< 0.4.4
543,SQL Injection in sequelize,sequelize,https://github.com//advisories/GHSA-2777-2vq8-c4v4,CVE-2019-11069,">= 5.0.0, < 5.3.0"
544,Prototype Pollution in jquery,jquery,https://github.com//advisories/GHSA-wv67-q8rr-grjp,CVE-2019-5428,< 3.4.0
545,"XSS in jQuery as used in Drupal, Backdrop CMS, and other products",jquery,https://github.com//advisories/GHSA-6c3j-c64m-qhgq,CVE-2019-11358,< 3.4.0
546,Cross-site Scripting in NodeBB,nodebb,https://github.com//advisories/GHSA-72fv-qgj6-2w2p,CVE-2015-9286,< 0.8.2
547,Improper Input Validation in tar-fs,tar-fs,https://github.com//advisories/GHSA-x2mc-8fgj-3wmr,CVE-2018-20835,< 1.16.2
548,Arbitrary File Overwrite in tar,tar,https://github.com//advisories/GHSA-j44m-qm6p-hp7m,CVE-2018-20834,"< 2.2.2>= 3.0.0, < 4.4.2"
549,Improper Input Validation and Buffer Over-read in mqtt-packet,mqtt-packet,https://github.com//advisories/GHSA-wv67-9jq7-8r69,CVE-2019-5432,"< 3.5.1>= 4.0.0, < 4.1.3>= 5.0.0, < 5.6.1>= 6.0.0, < 6.1.2"
550,Cross-Site Scripting in simditor,simditor,https://github.com//advisories/GHSA-8v67-x8q5-3x3g,CVE-2018-19048,< 2.3.22
551,Cross-site Scripting in remarkable,remarkable,https://github.com//advisories/GHSA-36m4-6v6m-4vpr,CVE-2019-12043,<= 1.7.1
552,Denial of Service in axios,axios,https://github.com//advisories/GHSA-42xw-2xvc-qx8m,CVE-2019-10742,<= 0.18.0
553,Cross-Site Scripting in webpack-bundle-analyzer,webpack-bundle-analyzer,https://github.com//advisories/GHSA-pgr8-jg6h-8gw6,,< 3.3.2
554,Cryptographically Weak PRNG in generate-password,generate-password,https://github.com//advisories/GHSA-6qqf-vvcr-7qrv,,< 1.4.1
555,Remote Memory Exposure in mysql,mysql,https://github.com//advisories/GHSA-5f7m-mmpc-qhh4,,< 2.14.0
556,Cross-Site Scripting (XSS) in Verdaccio,verdaccio,https://github.com//advisories/GHSA-78j5-gcmf-vqc8,CVE-2019-14772,< 3.12.0
557,Cross-Site Scripting in shave,shave,https://github.com//advisories/GHSA-gh4g-3gm9-5wrq,CVE-2019-12313,< 2.5.3
558,Out-of-bounds Read in concat-with-sourcemaps,concat-with-sourcemaps,https://github.com//advisories/GHSA-2xv3-h762-ccxv,,">= 1.0.0, < 1.0.6"
559,Command Injection in fs-git,fs-git,https://github.com//advisories/GHSA-qr32-j4j6-3m7r,CVE-2017-16087,< 1.0.2
560,Server-Side Request Forgery in terriajs-server,terriajs-server,https://github.com//advisories/GHSA-p72p-rjr2-r439,,< 2.7.4
561,Reflected Cross-Site Scripting in jquery.terminal,jquery.terminal,https://github.com//advisories/GHSA-2hwp-g4g7-mwwj,,< 1.21.0
562,Directory Traversal in ltt.js,ltt.js,https://github.com//advisories/GHSA-6qh5-wx38-q92g,,= 1.0.0
563,Arbitrary File Overwrite in fstream,fstream,https://github.com//advisories/GHSA-xf7w-r453-m56c,CVE-2019-13173,< 1.0.12
564,Cross-Site Scripting in bootbox,bootbox,https://github.com//advisories/GHSA-87mg-h5r3-hw88,,<= 5.5.2
565,Insecure Credential Storage in web3,web3,https://github.com//advisories/GHSA-27v7-qhfv-rqq8,,<= 1.5.2
566,Improper Key Verification in ipns,ipns,https://github.com//advisories/GHSA-j59f-6m4q-62h6,,< 0.1.3
567,Cross-Site Scripting in bracket-template,bracket-template,https://github.com//advisories/GHSA-jj6g-7j8p-7gf2,,<= 1.1.5
568,Denial of Service in foreman,foreman,https://github.com//advisories/GHSA-xm28-fw2x-fqv2,,< 3.0.1
569,Prototype Pollution in deap,deap,https://github.com//advisories/GHSA-xrmp-99wj-p6jc,,< 1.0.1
570,Path Traversal in angular-http-server,angular-http-server,https://github.com//advisories/GHSA-vmhw-fhj6-m3g5,,< 1.4.4
571,Cross-Site Scripting in public,public,https://github.com//advisories/GHSA-7jfh-2xc9-ccv7,,< 0.1.4= 0.1.5
572,Cross-Site Scripting in react-svg,react-svg,https://github.com//advisories/GHSA-8xqr-4cpm-wx7g,,< 2.2.18
573,Out-of-bounds Read in base64-url,base64-url,https://github.com//advisories/GHSA-j4mr-9xw3-c9jx,,< 2.0.0
574,Memory Exposure in tunnel-agent,tunnel-agent,https://github.com//advisories/GHSA-xc7v-wxcw-j472,,< 0.6.0
575,Insecure Comparison in secure-compare,secure-compare,https://github.com//advisories/GHSA-h9x2-5rm7-x4gm,CVE-2015-9238,< 3.0.1
576,Memory Exposure in bl,bl,https://github.com//advisories/GHSA-wrw9-m778-g6mc,,< 0.9.5= 1.0.0
577,Memory Exposure in concat-stream,concat-stream,https://github.com//advisories/GHSA-g74r-ffvr-5q9f,,">= 1.5.0, < 1.5.2>= 1.4.0, < 1.4.11>= 1.3.0, < 1.3.2"
578,Denial of Service in ircdkit,ircdkit,https://github.com//advisories/GHSA-f7r3-p866-q9qr,,<= 1.0.3
579,Command Injection in command-exists,command-exists,https://github.com//advisories/GHSA-cff4-rrq6-h78w,,< 1.2.4
580,Privilege Escalation in express-cart,express-cart,https://github.com//advisories/GHSA-3fc5-9x9m-vqc4,,< 1.1.6
581,Remote Memory Exposure in floody,floody,https://github.com//advisories/GHSA-3p92-886g-qxpq,,< 0.1.1
582,Sensitive Data Exposure in pem,pem,https://github.com//advisories/GHSA-pgcr-7wm4-mcv6,,< 1.13.2
583,Cross-Site Scripting (XSS) in cloudcmd,cloudcmd,https://github.com//advisories/GHSA-m8fw-534v-xm85,,< 9.1.6
584,Out-of-bounds Read in byte,byte,https://github.com//advisories/GHSA-xm7f-x4wx-wmgv,,< 1.4.1
585,NoSQL Injection in loopback-connector-mongodb,loopback-connector-mongodb,https://github.com//advisories/GHSA-m734-r4g6-34f9,,< 3.6.0
586,Denial of Service in ws,ws,https://github.com//advisories/GHSA-5v72-xg48-5rpm,,">= 0.2.6, < 1.1.5>= 2.0.0, < 3.3.1"
587,NoSQL Injection in sequelize,sequelize,https://github.com//advisories/GHSA-wfp9-vr4j-f49j,,< 4.12.0
588,Command Injection in opencv,opencv,https://github.com//advisories/GHSA-f698-m2v9-5fh3,,< 6.1.0
589,Code Injection in js-yaml,js-yaml,https://github.com//advisories/GHSA-8j8c-7jfh-h6hx,,< 3.13.1
590,High severity vulnerability that affects gun,gun,https://github.com//advisories/GHSA-886v-mm6p-4m66,,< 0.2019.416
591,Denial of Service in canvas,canvas,https://github.com//advisories/GHSA-vpq5-4rc8-c222,,< 1.6.10
592,Denial of Service in url-relative,url-relative,https://github.com//advisories/GHSA-86p3-4gfq-38f2,,<= 1.0.0
593,Path Traversal in statics-server,statics-server,https://github.com//advisories/GHSA-74cp-qw7f-7hpw,,<= 0.0.9
594,Regular Expression Denial of Service in marked,marked,https://github.com//advisories/GHSA-xf5p-87ch-gxw2,,< 0.3.18
595,Denial of Service in js-yaml,js-yaml,https://github.com//advisories/GHSA-2pr6-76vf-7546,,< 3.13.0
596,Prototype Pollution in handlebars,handlebars,https://github.com//advisories/GHSA-q42p-pg8m-cqh6,,">= 4.1.0, < 4.1.2>= 4.0.0, < 4.0.14< 3.0.7"
597,Sensitive Data Exposure in sequelize-cli,sequelize-cli,https://github.com//advisories/GHSA-3xc7-xg67-pw99,,<= 5.4.0
598,Insecure Default Configuration in tesseract.js,tesseract.js,https://github.com//advisories/GHSA-83rx-c8cr-6j8q,,< 1.0.19
599,Regular Expression Denial of Service in clean-css,dotnetng.template,https://github.com//advisories/GHSA-wxhq-pm8v-cw75,,= 1.0.100= 0.1.5= 0.0.3= 0.0.1= 0.0.2< 4.1.11= 4.1.10= 3.0.1= 1.0.0.3
600,Command Injection in dot,dot,https://github.com//advisories/GHSA-4859-gpc7-4j66,,<= 1.1.2
601,SQL Injection in typeorm,typeorm,https://github.com//advisories/GHSA-w7q7-vjp8-7jv4,,< 0.1.15
602,Path Traversal in servey,servey,https://github.com//advisories/GHSA-rv49-54qp-fw42,,< 3.1.0
603,Regular Expression Denial of Service in braces,braces,https://github.com//advisories/GHSA-g95f-p29q-9xw4,,< 2.3.1
604,Signature Verification Bypass in jwt-simple,jwt-simple,https://github.com//advisories/GHSA-8v5f-hp78-jgxq,,< 0.5.3
605,Timing Attack in express-basic-auth,express-basic-auth,https://github.com//advisories/GHSA-c35v-qwqg-87jc,,< 1.1.7
606,Prototype Pollution in upmerge,upmerge,https://github.com//advisories/GHSA-gm9g-2g8v-fvxj,,<= 0.1.8
607,Insecure Default Configuration in redbird,redbird,https://github.com//advisories/GHSA-8948-ffc6-jg52,,<= 0.9.0
608,Regular Expression Denial of Service in remarkable,remarkable,https://github.com//advisories/GHSA-q22g-8fr4-qpj4,CVE-2019-12041,<= 1.7.1
609,Rate Limiting Bypass in express-brute,express-brute,https://github.com//advisories/GHSA-984p-xq9m-4rjw,,<= 1.0.1
610,Regular Expression Denial of Service,nwmatcher,https://github.com//advisories/GHSA-6394-6h9h-cfjg,,< 1.4.4
611,Prototype Pollution,querystringify,https://github.com//advisories/GHSA-hxcm-v35h-mg2x,,< 2.0.0
612,Remote Code Execution in node-os-utils,node-os-utils,https://github.com//advisories/GHSA-j9f8-8h89-j69x,,< 1.1.0
613,Path Traversal in m-server,m-server,https://github.com//advisories/GHSA-vc6r-4x6g-mmqc,,< 1.4.2
614,Denial of Service in http-proxy-agent,http-proxy-agent,https://github.com//advisories/GHSA-8w57-jfpm-945m,,< 2.1.0
615,Path Traversal in localhost-now,localhost-now,https://github.com//advisories/GHSA-73cw-jxmm-qpgh,,<= 1.0.2
616,Command Injection in fs-path,fs-path,https://github.com//advisories/GHSA-gc94-6w89-hpqr,,<= 0.0.25
617,Out-of-bounds Read in npmconf,npmconf,https://github.com//advisories/GHSA-57cf-349j-352g,,< 2.1.3
618,SQL Injection in sql,sql,https://github.com//advisories/GHSA-8f93-rv4p-x4jw,,<= 0.78.0
619,Unauthorized File Access in harp,harp,https://github.com//advisories/GHSA-6fmm-47qc-p4m4,CVE-2019-5438,< 0.40.3
620,Unauthorized File Access in harp,harp,https://github.com//advisories/GHSA-46hv-7769-j7rx,CVE-2019-5437,< 0.40.2
621,Denial of Service in parse-server,parse-server,https://github.com//advisories/GHSA-2479-qvv7-47qq,CVE-2019-1020012,< 3.4.1
622,Cross-Site Scripting in ids-enterprise,ids-enterprise,https://github.com//advisories/GHSA-crfx-5phg-hmw9,,< 4.18.2
623,Cross-Site Scripting in ids-enterprise,ids-enterprise,https://github.com//advisories/GHSA-hpfq-8wx8-cgqw,,< 4.18.2
624,Command Injection in wiki-plugin-datalog,wiki-plugin-datalog,https://github.com//advisories/GHSA-pm52-wwrw-c282,,< 0.1.6
625,Regular Expression Denial of Service (ReDoS),diff,https://github.com//advisories/GHSA-h6ch-v84p-w6p9,,< 3.5.0
626,Prototype Pollution in lutils-merge,lutils-merge,https://github.com//advisories/GHSA-f7qw-5pvg-mmwp,,<= 0.2.6
627,Cross-Site Scripting in ids-enterprise,ids-enterprise,https://github.com//advisories/GHSA-49r3-3h96-rwj6,,< 4.18.2
628,Forced Logout in keycloak-connect,keycloak-connect,https://github.com//advisories/GHSA-68hw-vfh7-xvg8,CVE-2019-10157,< 4.8.3
629,Prototype Pollution in @apollo/gateway,@apollo/gateway,https://github.com//advisories/GHSA-74cr-77xc-8g6r,,< 0.6.2
630,Failure to sanitize quotes which can lead to sql injection in squel,squel,https://github.com//advisories/GHSA-4qhx-g9wp-g9m6,,<= 5.13.0
631,Sandbox Bypass Leading to Arbitrary Code Execution in constantinople,constantinople,https://github.com//advisories/GHSA-4vmm-mhcq-4x9j,,< 3.1.1
632,Path Traversal in serve-here.js,serve-here,https://github.com//advisories/GHSA-g8m7-qhv7-9h5x,,<= 3.2.0
633,Regular Expression Denial of Service in underscore.string,underscore.string,https://github.com//advisories/GHSA-v2p6-4mp7-3r9v,,< 3.3.5
634,Directory Traversal in lactate,lactate,https://github.com//advisories/GHSA-68gr-cmcp-g3mj,,<= 0.13.12
635,Reverse Tabnapping in swagger-ui,swagger-ui,https://github.com//advisories/GHSA-x9p2-fxq6-2m5f,,< 3.18.0
636,Regular Expression Denial of Service,esm,https://github.com//advisories/GHSA-qx4v-6gc5-f2vv,,< 3.1.0
637,Command Injection in open,open,https://github.com//advisories/GHSA-28xh-wpgr-7fm8,,< 6.0.0
638,Out-of-bounds Read in stringstream,stringstream,https://github.com//advisories/GHSA-mf6x-7mm4-x2g7,CVE-2018-21270,< 0.0.6
639,Cross-Site Scripting via JSONP,angular,https://github.com//advisories/GHSA-28hp-fgcr-2r4h,,< 1.6.0
640,Arbitrary Code Injection in mobile-icon-resizer,mobile-icon-resizer,https://github.com//advisories/GHSA-mxjr-xmcg-fg7w,,">= 0.2.0, < 0.4.3"
641,Denial of Service in mem,mem,https://github.com//advisories/GHSA-4xcv-9jjx-gfj3,,< 4.0.0
642,Authentication bypass via incorrect XML canonicalization and DOM traversal in saml2-js,saml2-js,https://github.com//advisories/GHSA-5p5w-j3g7-w4wv,CVE-2017-11429,"< 1.12.4>= 2.0.0, < 2.0.2"
643,Prototype Pollution in lodash,lodash.template,https://github.com//advisories/GHSA-jf85-cpcp-j695,CVE-2019-10744,< 4.17.12< 4.17.13< 4.17.14< 4.6.1< 4.6.2< 4.6.2< 4.5.0
644,Sensitive Data Exposure in parse-server,parse-server,https://github.com//advisories/GHSA-8w3j-g983-8jh5,CVE-2019-1020013,< 3.6.0
645,Path Traversal in http-file-server,http-file-server,https://github.com//advisories/GHSA-2mp5-m968-gwr2,CVE-2019-5447,< 0.2.6
646,Cross-Site Scripting in @nuxt/devalue,@nuxt/devalue,https://github.com//advisories/GHSA-6677-83pp-f862,CVE-2019-13506,< 1.2.3
647,Prototype pollution in lodash,lodash,https://github.com//advisories/GHSA-x5rq-j2xg-h7qm,CVE-2019-1010266,< 4.17.11
648,Cross-Site Scripting in http-file-server,http-file-server,https://github.com//advisories/GHSA-7j93-2h6r-hm49,CVE-2019-5458,<= 0.2.6
649,Cross-Site Scripting in min-http-server,min-http-server,https://github.com//advisories/GHSA-j657-59rv-qwm6,CVE-2019-5457,<= 1.0.6
650,Missing Encryption of Sensitive Data in yarn,yarn,https://github.com//advisories/GHSA-wqfc-cr59-h64p,CVE-2019-5448,< 1.17.3
651,Prototype Pollution in assign-deep,assign-deep,https://github.com//advisories/GHSA-66rh-8fw6-59q6,CVE-2019-10745,< 0.4.8= 1.0.0
652,Denial of Service in rgb2hex,rgb2hex,https://github.com//advisories/GHSA-65p8-3hm4-h9h8,,< 0.1.6
653,Identity Spoofing in libp2p-secio,libp2p-secio,https://github.com//advisories/GHSA-rch7-f4h5-x9rj,,< 0.9.0
654,Cross-site Scripting in pandao,editor.md,https://github.com//advisories/GHSA-x65c-4fgj-5fc3,CVE-2019-14653,= 1.5.0
655,Cross-site Scripting in pandao editor.md,editor.md,https://github.com//advisories/GHSA-5q54-8p9j-x74j,CVE-2019-14517,= 1.5.0
656,Invalid Curve Attack in openpgp,openpgp,https://github.com//advisories/GHSA-77jf-fjjf-xcww,CVE-2019-9155,< 4.3.0
657,Message Signature Bypass in openpgp,openpgp,https://github.com//advisories/GHSA-qwqc-28w3-fww6,CVE-2019-9153,<= 4.1.2
658,Improper Key Verification in openpgp,openpgp,https://github.com//advisories/GHSA-hfmf-q43v-2ffj,CVE-2019-9154,<= 4.1.2
659,SQL Injection in connect-pg-simple,connect-pg-simple,https://github.com//advisories/GHSA-xqh8-5j36-4556,CVE-2019-15658,< 6.0.1
660,Arbitrary Code Execution in eslint-utils,eslint-utils,https://github.com//advisories/GHSA-3gx7-xhv7-5mx3,CVE-2019-15657,">= 1.2.0, < 1.4.1"
661,Cross-Site Scripting in cyberchef,cyberchef,https://github.com//advisories/GHSA-jp6r-xcjj-5h7r,CVE-2019-15532,< 8.31.3
662,Cross-Site Scripting in selectize-plugin-a11y,selectize-plugin-a11y,https://github.com//advisories/GHSA-8cpw-73f2-w58m,CVE-2019-15482,< 1.1.0
663,Prototype Pollution in mixin-deep,mixin-deep,https://github.com//advisories/GHSA-fhjf-83wg-r2j9,CVE-2019-10746,< 1.3.2= 2.0.0
664,Prototype Pollution in set-value,set-value,https://github.com//advisories/GHSA-4g88-fppr-53pp,CVE-2019-10747,< 2.0.1= 3.0.0
665,Prototype Pollution in deeply,deeply,https://github.com//advisories/GHSA-8j4w-5fw4-rm27,CVE-2019-10750,< 3.1.0
666,Cross-Site Scripting in webtorrent,webtorrent,https://github.com//advisories/GHSA-gjh4-fcv3-whpq,CVE-2019-15782,< 0.107.6
667,Path Traversal in algo-httpserv,algo-httpserv,https://github.com//advisories/GHSA-cgjv-rghq-qhgp,,< 1.1.2
668,Undefined Behavior in sailsjs-cacheman,sailsjs-cacheman,https://github.com//advisories/GHSA-5w65-6875-rhq8,,<= 1.0.0
669,Cross-Site Scripting in dojo,dojo,https://github.com//advisories/GHSA-536q-8gxx-m782,CVE-2010-2273,"= 1.13.0>= 1.12.0, < 1.12.4>= 1.11.0, < 1.11.6>= 1.10.0, < 1.10.10"
670,Path Traversal in statichttpserver,statichttpserver,https://github.com//advisories/GHSA-2j5x-56p6-hj6x,CVE-2019-5480,<= 0.9.7
671,Unintended Require in larvitbase-api,larvitbase-api,https://github.com//advisories/GHSA-xf27-jqwv-gf3r,CVE-2019-5479,< 0.5.5
672,Sensitive Data Exposure in seneca,seneca,https://github.com//advisories/GHSA-2xwv-3cc9-fp7c,CVE-2019-5483,< 3.9.0
673,Low severity vulnerability that affects smartbanner.js,smartbanner.js,https://github.com//advisories/GHSA-9mrq-cjgh-32g2,,< 1.14.1
674,Critical severity vulnerability that affects generator-jhipster,generator-jhipster,https://github.com//advisories/GHSA-mwp6-j9wf-968c,,< 6.3.0
675,Command Injection in gitlabhook,gitlabhook,https://github.com//advisories/GHSA-549f-73hh-mj38,CVE-2019-5485,<= 0.0.17
676,Symlink Arbitrary File Overwrite in bower,bower,https://github.com//advisories/GHSA-p6mr-pxg4-68hx,CVE-2019-5484,< 1.8.8
677,Cross-Site Scripting in status-board,status-board,https://github.com//advisories/GHSA-6m4r-cgm3-6q7q,CVE-2019-15478,< 1.1.82
678,Cross-Site Scripting in status-board,status-board,https://github.com//advisories/GHSA-8864-rhmw-5m6f,CVE-2019-15479,< 1.1.82
679,High severity vulnerability that affects generator-jhipster,generator-jhipster,https://github.com//advisories/GHSA-mc84-xr9p-938r,,< 6.3.1
680,Arbitrary File Read in html-pdf,html-pdf,https://github.com//advisories/GHSA-x4w5-r546-x9qh,CVE-2019-15138,< 3.0.1
681,Buffer Overflow in centra,centra,https://github.com//advisories/GHSA-v6cj-r88p-92rm,,< 2.4.0
682,Sandbox Breakout in realms-shim,ses,https://github.com//advisories/GHSA-6jg8-7333-554w,,< 1.2.0< 0.6.3
683,Low severity vulnerability that affects eye.js,eye.js,https://github.com//advisories/GHSA-mgv2-57vj-99xc,,= 1.2.0
684,Improper Input Validation in Automattic Mongoose,mongoose,https://github.com//advisories/GHSA-8687-vv9j-hgph,CVE-2019-17426,< 5.7.5
685,Cross-site scripting in Swagger-UI,swagger-ui,https://github.com//advisories/GHSA-c427-hjc3-wrfw,CVE-2019-17495,< 3.23.11
686,Regular Expression Denial of Service in csv-parse,csv-parse,https://github.com//advisories/GHSA-582f-p4pg-xc74,CVE-2019-17592,< 4.4.6
687,Sandbox Breakout / Arbitrary Code Execution in safer-eval,safer-eval,https://github.com//advisories/GHSA-hgch-jjmr-gp7w,CVE-2019-10760,< 1.3.2
688,Sandbox Breakout in realms-shim,realms-shim,https://github.com//advisories/GHSA-7cg8-pq9v-x98q,,< 1.2.1
689,Sandbox Breakout / Arbitrary Code Execution in safer-eval,safer-eval,https://github.com//advisories/GHSA-r3x4-wr4h-pw33,CVE-2019-10759,< 1.3.4
690,SQL Injection in knex,knex,https://github.com//advisories/GHSA-58v4-qwx5-7f59,CVE-2019-10757,< 0.19.5
691,Moderate severity vulnerability that affects renovate,renovate,https://github.com//advisories/GHSA-v7x3-7hw7-pcjg,,< 19.38.7
692,SQL Injection in sequelize,sequelize,https://github.com//advisories/GHSA-m9jw-237r-gvfv,CVE-2019-10752,"< 4.44.3>= 5.0.0, < 5.15.1"
693,Cross-site Scripting in node-red-dashboard,node-red-dashboard,https://github.com//advisories/GHSA-xg59-m7wx-853q,CVE-2019-10756,< 2.17.0
694,SQL Injection in sequelize,sequelize,https://github.com//advisories/GHSA-j9xp-92vc-559j,CVE-2019-10748,"< 3.35.1>= 4.0.0, < 4.44.3>= 5.0.0, < 5.8.11"
695,SQL Injection in sequelize,sequelize,https://github.com//advisories/GHSA-2598-2f59-rmhq,CVE-2019-10749,< 3.35.1
696,Default Express middleware security check is ignored in production,@cubejs-backend/api-gateway,https://github.com//advisories/GHSA-4j6x-w426-6rc6,,">= 0.11.0, <= 0.11.16"
